Date,Type,Confirmation Code,Start Date,Nights,Currency,Amount,Paid Out,Host Fee,Cleaning Fee,Earnings Year
03/15/2020,Reservation,HMJDKFRQ2N,03/14/2020,1,PHP,1755.7,,54.3,500,2020
03/12/2020,Payout,,,,PHP,,2485.41,,,
03/12/2020,Adjustment,HMMZYAKS22,03/08/2020,2,PHP,-1435.6,,-44.4,-108.14,2020
03/12/2020,Reservation,HMEEK2TMAW,03/11/2020,3,PHP,3621.01,,111.99,500,2020
03/12/2020,Resolution Payout,HMEEK2TMAW,03/11/2020,3,PHP,300,,,,2020
03/09/2020,Payout,,,,PHP,,4926.3,,,
03/09/2020,Reservation,HMMZYAKS22,03/08/2020,2,PHP,4646.3,,143.7,350,2020
03/09/2020,Resolution Payout,HMMZYAKS22,03/08/2020,2,PHP,280,,,,2020
03/05/2020,Payout,,,,PHP,,5335,,,
03/05/2020,Reservation,HMW3JMS4TS,03/03/2020,5,PHP,5335,,165,500,2020
02/27/2020,Payout,,,,PHP,,7252.69,,,
02/27/2020,Reservation,HMZYRRH3RB,02/26/2020,6,PHP,7252.69,,224.31,500,2020
02/23/2020,Payout,,,,PHP,,6052.8,,,
02/23/2020,Reservation,HMZBPA8JTT,02/22/2020,4,PHP,6052.8,,187.2,350,2020
02/20/2020,Payout,,,,PHP,,1891.5,,,
02/20/2020,Reservation,HMAKNJQJYA,02/19/2020,3,PHP,1891.5,,58.5,221.59,2020
02/19/2020,Payout,,,,PHP,,1328.9,,,
02/19/2020,Reservation,HMAFZ999B9,02/18/2020,2,PHP,1328.9,,41.1,0,2020
02/18/2020,Payout,,,,PHP,,3395,,,
02/18/2020,Reservation,HMMP9SM3NT,02/17/2020,3,PHP,3395,,105,500,2020
02/15/2020,Payout,,,,PHP,,3395,,,
02/15/2020,Reservation,HMP3R9PD9X,02/14/2020,3,PHP,3395,,105,500,2020
02/14/2020,Payout,,,,PHP,,3176.75,,,
02/14/2020,Reservation,HMR5E4FTXS,02/13/2020,5,PHP,3176.75,,98.25,0,2020
02/13/2020,Payout,,,,PHP,,2617.06,,,
02/13/2020,Reservation,HMCCKBKBED,02/12/2020,2,PHP,2617.06,,80.94,500,2020
02/09/2020,Payout,,,,PHP,,5335,,,
02/09/2020,Reservation,HM9XTHCBHZ,02/08/2020,4,PHP,5335,,165,500,2020
02/05/2020,Payout,,,,PHP,,4549.3,,,
02/05/2020,Reservation,HMQHRWD4R9,02/04/2020,3,PHP,4549.3,,140.7,500,2020
01/31/2020,Payout,,,,PHP,,4402.5,,,
01/31/2020,Reservation,HM39BWYK9X,01/30/2020,3,PHP,4122.5,,127.5,500,2020
01/31/2020,Resolution Payout,HM39BWYK9X,01/30/2020,3,PHP,280,,,,2020
01/28/2020,Payout,,,,PHP,,4209.8,,,
01/28/2020,Reservation,HMEMF8AXNF,01/27/2020,3,PHP,4209.8,,130.2,500,2020
01/26/2020,Payout,,,,PHP,,3054.2,,,
01/26/2020,Resolution Payout,HMRNW2WDT9,01/25/2020,2,PHP,280,,,,2020
01/26/2020,Reservation,HMRNW2WDT9,01/25/2020,2,PHP,2774.2,,85.8,350,2020
